[dpo] loading model...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights: 100%|██████████| 310/310 [00:00<00:00, 12986.24it/s]
trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
[dpo] 840 pairs
[dpo] tokenizing pairs...
[dpo] max seq len: 1200
[dpo] ep1 step 231/840 loss=0.0030 margin=58.207
[dpo] ep1 step 232/840 loss=0.0033 margin=57.257
[dpo] ep1 step 233/840 loss=0.0018 margin=63.272
[dpo] ep1 step 234/840 loss=0.0000 margin=127.911
[dpo] ep1 step 235/840 loss=0.0084 margin=47.806
[dpo] ep1 step 236/840 loss=0.0001 margin=94.134
[dpo] ep1 step 237/840 loss=0.0001 margin=91.984
[dpo] ep1 step 238/840 loss=0.0002 margin=86.822
[dpo] ep1 step 239/840 loss=0.0038 margin=55.783
[dpo] ep1 step 240/840 loss=0.0001 margin=98.264
[dpo] ep1 step 241/840 loss=0.0000 margin=111.278
[dpo] ep1 step 242/840 loss=0.0001 margin=97.776
[dpo] ep1 step 243/840 loss=0.0000 margin=107.188
[dpo] ep1 step 244/840 loss=0.0002 margin=86.053
[dpo] ep1 step 245/840 loss=0.0001 margin=99.010
[dpo] ep1 step 246/840 loss=0.0002 margin=86.580
[dpo] ep1 step 247/840 loss=0.0708 margin=26.123
[dpo] ep1 step 248/840 loss=0.0001 margin=89.937
[dpo] ep1 step 249/840 loss=0.0002 margin=83.903
[dpo] ep1 step 250/840 loss=0.0007 margin=73.172
[dpo] ep1 step 251/840 loss=0.0036 margin=56.315
[dpo] ep1 step 252/840 loss=0.0062 margin=50.769
[dpo] ep1 step 253/840 loss=0.0021 margin=61.701
[dpo] ep1 step 254/840 loss=0.0194 margin=39.333
[dpo] ep1 step 255/840 loss=0.0005 margin=75.634
[dpo] ep1 step 256/840 loss=0.0003 margin=81.657
[dpo] ep1 step 257/840 loss=0.0003 margin=81.858
[dpo] ep1 step 258/840 loss=0.0435 margin=31.125
[dpo] ep1 step 259/840 loss=0.0002 margin=87.670
[dpo] ep1 step 260/840 loss=0.0000 margin=132.970
[dpo] ep1 step 261/840 loss=0.0011 margin=67.969
[dpo] ep1 step 262/840 loss=0.0000 margin=137.043
[dpo] ep1 step 263/840 loss=0.0000 margin=148.830
[dpo] ep1 step 264/840 loss=0.0112 margin=44.877
[dpo] ep1 step 265/840 loss=0.0101 margin=45.898
[dpo] ep1 step 266/840 loss=0.0001 margin=89.613
[dpo] ep1 step 267/840 loss=0.0000 margin=152.885
[dpo] ep1 step 268/840 loss=0.0031 margin=57.765
[dpo] ep1 step 269/840 loss=0.0000 margin=128.805
[dpo] ep1 step 270/840 loss=0.0000 margin=129.408
[dpo] ep1 step 271/840 loss=0.0003 margin=81.907
[dpo] ep1 step 272/840 loss=0.0003 margin=80.436
[dpo] ep1 step 273/840 loss=0.0001 margin=94.640
[dpo] ep1 step 274/840 loss=0.0002 margin=87.826
[dpo] ep1 step 275/840 loss=0.0002 margin=86.533
[dpo] ep1 step 276/840 loss=0.0002 margin=84.039
[dpo] ep1 step 277/840 loss=0.0562 margin=28.500
[dpo] ep1 step 278/840 loss=0.0000 margin=147.469
[dpo] ep1 step 279/840 loss=0.0505 margin=29.610
[dpo] ep1 step 280/840 loss=0.0001 margin=98.327
[dpo] ep1 step 281/840 loss=0.0000 margin=99.939
[dpo] ep1 step 282/840 loss=0.0092 margin=46.815
[dpo] ep1 step 283/840 loss=0.0000 margin=138.831
[dpo] ep1 step 284/840 loss=0.0016 margin=64.111
[dpo] ep1 step 285/840 loss=0.0000 margin=110.052
[dpo] ep1 step 286/840 loss=0.0126 margin=43.674
[dpo] ep1 step 287/840 loss=0.0003 margin=79.639
[dpo] ep1 step 288/840 loss=0.0010 margin=68.934
[dpo] ep1 step 289/840 loss=0.0116 margin=44.551
[dpo] ep1 step 290/840 loss=0.0121 margin=44.063
[dpo] ep1 step 291/840 loss=0.0001 margin=98.691
[dpo] ep1 step 292/840 loss=0.0000 margin=112.526
[dpo] ep1 step 293/840 loss=0.0001 margin=93.400
[dpo] ep1 step 294/840 loss=0.0000 margin=99.213
[dpo] ep1 step 295/840 loss=0.0000 margin=131.687
[dpo] ep1 step 296/840 loss=0.0000 margin=149.760
[dpo] ep1 step 297/840 loss=0.0007 margin=72.181
[dpo] ep1 step 298/840 loss=0.0012 margin=66.841
[dpo] ep1 step 299/840 loss=0.0001 margin=92.917
[dpo] ep1 step 300/840 loss=0.0001 margin=92.067
[dpo] ep1 step 301/840 loss=0.0000 margin=134.243
[dpo] ep1 step 302/840 loss=0.0004 margin=79.246
[dpo] ep1 step 303/840 loss=0.0040 margin=55.116
